          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

                i    59    0.333 (0.0764)    0.485  0.228 (0.0112)   -0.009  0.570 (0.0008)
                z    60    0.295 (0.0890)    0.469  0.261 (0.0149)   -0.097  0.652 (0.0024)
 HST STIS Ly_alpha   61    1.463 (0.3145)    0.701 -1.143 (0.0615)    3.178 -2.857 (0.1152)
            Fclear   62    1.448 (0.3028)    0.729 -1.078 (0.0500)    3.066 -2.696 (0.1012)
             Fsrf2   63    1.431 (0.2930)    0.740 -1.037 (0.0456)    2.987 -2.593 (0.0950)
              Fqtz   64    1.345 (0.2449)    0.784 -0.842 (0.0261)    2.607 -2.104 (0.0665)
              CIII   65    1.152 (0.1426)    0.835 -0.476 (0.0065)    1.867 -1.190 (0.0291)
              MgII   66    0.712 (0.0055)    0.700 -0.017 (0.0067)    0.738 -0.044 (0.0075)
            Nclear   67    1.034 (0.1117)    0.777 -0.386 (0.0125)    1.614 -0.966 (0.0309)
             Nsrf2   68    1.018 (0.1039)    0.780 -0.357 (0.0104)    1.553 -0.892 (0.0274)
              Nqtz   69    1.007 (0.0982)    0.783 -0.336 (0.0090)    1.510 -0.839 (0.0250)
             cn182   70    1.174 (0.1608)    0.811 -0.545 (0.0119)    1.991 -1.362 (0.0379)
             cn270   71    0.768 (0.0146)    0.730 -0.056 (0.0062)    0.852 -0.141 (0.0089)
            Oclear   72    0.471 (0.0799)    0.642  0.256 (0.0020)    0.088  0.639 (0.0110)
         Oclear-lp   73    0.376 (0.0818)    0.543  0.250 (0.0087)    0.001  0.625 (0.0034)
             [OII]   74    0.529 (0.0762)    0.693  0.246 (0.0030)    0.160  0.616 (0.0129)
            [OIII]   75    0.517 (0.0858)    0.704  0.281 (0.0035)    0.095  0.703 (0.0164)
 2MASS          J    76    0.239 (0.0786)    0.389  0.224 (0.0167)   -0.097  0.561 (0.0060)
 2MASS          H    77    0.182 (0.0734)    0.316  0.200 (0.0199)   -0.119  0.501 (0.0104)
 2MASS          Ks   78    0.152 (0.0607)    0.261  0.164 (0.0175)   -0.094  0.410 (0.0098)
 SWASP               79    0.499 (0.0835)    0.679  0.271 (0.0024)    0.091  0.678 (0.0145)
 MOST                80    0.489 (0.0833)    0.668  0.270 (0.0019)    0.084  0.674 (0.0135)
 GAIA (2006)    G    81    0.478 (0.0823)    0.654  0.265 (0.0017)    0.080  0.663 (0.0125)
 GAIA (2010)    G    82    0.459 (0.0822)    0.634  0.263 (0.0024)    0.065  0.656 (0.0108)
 GAIA (2010)    BP   83    0.506 (0.0828)    0.686  0.270 (0.0028)    0.101  0.675 (0.0150)
 GAIA (2010)    RP   84    0.336 (0.0804)    0.496  0.240 (0.0114)   -0.025  0.601 (0.0006)
 GAIA (2010)  G_RV   85    0.278 (0.0913)    0.455  0.264 (0.0168)   -0.118  0.661 (0.0041)
 Milone        230   86    0.980 (0.0725)    0.816 -0.246 (0.0054)    1.349 -0.615 (0.0169)
               250   87    0.868 (0.0387)    0.777 -0.136 (0.0056)    1.072 -0.340 (0.0120)
               270   88    0.763 (0.0135)    0.728 -0.052 (0.0062)    0.841 -0.131 (0.0087)
               290   89    0.670 (0.0084)    0.675  0.008 (0.0070)    0.658  0.019 (0.0066)
               310   90    0.585 (0.0206)    0.618  0.050 (0.0080)    0.510  0.125 (0.0056)
               330   91    0.514 (0.0289)    0.565  0.076 (0.0089)    0.400  0.190 (0.0053)
 CaII triplet  858   92    0.273 (0.0914)    0.449  0.264 (0.0172)   -0.123  0.660 (0.0045)
 WIRE  Johnson V+R   93    0.430 (0.0825)    0.602  0.259 (0.0048)    0.041  0.647 (0.0078)
               LUT   94    0.660 (0.0163)    0.690  0.045 (0.0039)    0.593  0.112 (0.0019)
              TESS   95    0.353 (0.0817)    0.518  0.247 (0.0103)   -0.017  0.617 (0.0017)


          Teff = 8500 K,  log g = 2.5,  [M/H] = -5.0

 bolometric           0    0.593 (0.0320)    0.653  0.091 (0.0061)    0.457  0.227 (0.0022)
 Stromgren      u     1    0.462 (0.0360)    0.529  0.100 (0.0088)    0.312  0.251 (0.0040)
                v     2    0.598 (0.0908)    0.801  0.305 (0.0081)    0.141  0.761 (0.0224)
                b     3    0.555 (0.0905)    0.754  0.298 (0.0044)    0.107  0.746 (0.0183)
                y     4    0.481 (0.0868)    0.666  0.278 (0.0021)    0.064  0.696 (0.0117)
 Johnson        U     5    0.532 (0.0721)    0.687  0.232 (0.0019)    0.184  0.580 (0.0108)
                B     6    0.576 (0.0904)    0.776  0.301 (0.0061)    0.125  0.751 (0.0202)
                V     7    0.483 (0.0868)    0.668  0.278 (0.0019)    0.065  0.696 (0.0119)
                R     8    0.387 (0.0780)    0.547  0.241 (0.0068)    0.025  0.603 (0.0049)
                I     9    0.297 (0.0764)    0.448  0.228 (0.0112)   -0.045  0.569 (0.0007)
                J    10    0.237 (0.0711)    0.375  0.207 (0.0129)   -0.074  0.518 (0.0031)
                K    11    0.146 (0.0510)    0.241  0.142 (0.0129)   -0.066  0.354 (0.0062)
                L    12    0.098 (0.0354)    0.162  0.096 (0.0103)   -0.045  0.239 (0.0058)
                M    13    0.073 (0.0269)    0.120  0.071 (0.0086)   -0.033  0.177 (0.0053)
                N    14    0.040 (0.0161)    0.067  0.041 (0.0058)   -0.022  0.103 (0.0039)
 Cousins        Rc   15    0.406 (0.0800)    0.572  0.249 (0.0060)    0.032  0.623 (0.0061)
                Ic   16    0.314 (0.0700)    0.454  0.210 (0.0098)   -0.001  0.525 (0.0009)
 Bessell        UX   17    0.528 (0.0677)    0.672  0.216 (0.0021)    0.204  0.540 (0.0092)
 Bessell        BX   18    0.575 (0.0904)    0.775  0.300 (0.0060)    0.124  0.751 (0.0201)
 Bessell        B    19    0.576 (0.0904)    0.777  0.301 (0.0062)    0.125  0.751 (0.0202)
 Bessell        V    20    0.482 (0.0867)    0.668  0.278 (0.0019)    0.065  0.696 (0.0119)
 Bessell        R    21    0.405 (0.0799)    0.571  0.249 (0.0060)    0.032  0.622 (0.0061)
 Bessell        I    22    0.307 (0.0721)    0.451  0.216 (0.0104)   -0.016  0.539 (0.0008)
 Tycho         TyB   23    0.584 (0.0902)    0.784  0.300 (0.0067)    0.134  0.751 (0.0207)
               TyV   24    0.498 (0.0878)    0.686  0.283 (0.0015)    0.073  0.708 (0.0131)
 Hipparchos    HIP   25    0.529 (0.0880)    0.721  0.288 (0.0028)    0.097  0.719 (0.0160)
 KEPLER              26    0.460 (0.0840)    0.639  0.268 (0.0026)    0.058  0.670 (0.0105)
 COROT SIS           27    0.469 (0.0843)    0.649  0.270 (0.0021)    0.064  0.675 (0.0114)
 COROT EXO           28    0.464 (0.0840)    0.643  0.269 (0.0023)    0.061  0.671 (0.0110)
 Geneva         U    29    0.474 (0.0392)    0.549  0.111 (0.0084)    0.307  0.279 (0.0030)
                B    30    0.585 (0.0904)    0.786  0.301 (0.0068)    0.133  0.753 (0.0209)
                B1   31    0.594 (0.0900)    0.794  0.301 (0.0074)    0.143  0.751 (0.0214)
                B2   32    0.570 (0.0908)    0.771  0.301 (0.0056)    0.118  0.753 (0.0197)
                V    33    0.483 (0.0868)    0.668  0.279 (0.0019)    0.065  0.696 (0.0119)
                V1   34    0.489 (0.0873)    0.676  0.281 (0.0017)    0.067  0.702 (0.0124)
                G    35    0.453 (0.0847)    0.632  0.268 (0.0036)    0.050  0.671 (0.0095)
 Vilnius        U    36    0.476 (0.0345)    0.540  0.096 (0.0086)    0.332  0.239 (0.0040)
                P    37    0.529 (0.0806)    0.701  0.259 (0.0024)    0.140  0.648 (0.0122)
                X    38    0.599 (0.0906)    0.802  0.304 (0.0081)    0.144  0.759 (0.0224)
                Y    39    0.555 (0.0906)    0.754  0.299 (0.0045)    0.107  0.748 (0.0184)
                Z    40    0.508 (0.0885)    0.700  0.287 (0.0014)    0.078  0.717 (0.0141)
                V    41    0.483 (0.0870)    0.669  0.279 (0.0019)    0.065  0.697 (0.0119)
                S    42    0.384 (0.0785)    0.545  0.242 (0.0072)    0.021  0.605 (0.0045)
 Milone         iz   43    0.277 (0.0791)    0.434  0.235 (0.0121)   -0.075  0.587 (0.0011)
                iJ   44    0.230 (0.0697)    0.365  0.202 (0.0131)   -0.073  0.505 (0.0035)
                iH   45    0.171 (0.0641)    0.290  0.179 (0.0155)   -0.097  0.448 (0.0070)
                iK   46    0.143 (0.0497)    0.235  0.138 (0.0126)   -0.064  0.345 (0.0061)
 YMS94         iz    47    0.277 (0.0791)    0.434  0.235 (0.0121)   -0.074  0.587 (0.0011)
               iJ    48    0.230 (0.0697)    0.365  0.202 (0.0131)   -0.073  0.505 (0.0035)
               iH    49    0.171 (0.0641)    0.290  0.179 (0.0155)   -0.097  0.447 (0.0070)
               iK    50    0.143 (0.0497)    0.235  0.138 (0.0126)   -0.064  0.345 (0.0061)
               iL    51    0.091 (0.0328)    0.150  0.088 (0.0100)   -0.041  0.219 (0.0059)
               iLp   52    0.084 (0.0314)    0.140  0.083 (0.0099)   -0.040  0.208 (0.0060)
               iM    53    0.068 (0.0268)    0.115  0.070 (0.0090)   -0.037  0.175 (0.0057)
               in    54    0.040 (0.0161)    0.068  0.041 (0.0058)   -0.021  0.103 (0.0039)
               iN    55    0.036 (0.0151)    0.062  0.038 (0.0055)   -0.021  0.096 (0.0037)
 Sloan DSS      u    56    0.506 (0.0562)    0.622  0.174 (0.0047)    0.245  0.434 (0.0039)
                g    57    0.547 (0.0898)    0.744  0.295 (0.0039)    0.104  0.738 (0.0176)
                r    58    0.421 (0.0816)    0.592  0.256 (0.0052)    0.038  0.639 (0.0071)
                i    59    0.330 (0.0714)    0.474  0.216 (0.0091)    0.007  0.539 (0.0015)
                z    60    0.283 (0.0819)    0.445  0.243 (0.0125)   -0.081  0.607 (0.0010)
 HST STIS Ly_alpha   61    1.479 (0.3191)    0.706 -1.160 (0.0630)    3.219 -2.900 (0.1175)
            Fclear   62    1.471 (0.3112)    0.731 -1.110 (0.0524)    3.136 -2.774 (0.1051)
             Fsrf2   63    1.454 (0.3012)    0.742 -1.068 (0.0479)    3.056 -2.670 (0.0987)
              Fqtz   64    1.362 (0.2480)    0.794 -0.852 (0.0265)    2.640 -2.130 (0.0674)
              CIII   65    1.154 (0.1349)    0.854 -0.450 (0.0062)    1.829 -1.125 (0.0277)
              MgII   66    0.715 (0.0055)    0.710 -0.008 (0.0066)    0.727 -0.020 (0.0070)
            Nclear   67    1.043 (0.1094)    0.790 -0.379 (0.0129)    1.611 -0.947 (0.0310)
             Nsrf2   68    1.026 (0.1011)    0.794 -0.347 (0.0107)    1.547 -0.869 (0.0274)
              Nqtz   69    1.013 (0.0946)    0.797 -0.324 (0.0092)    1.498 -0.809 (0.0247)
             cn182   70    1.181 (0.1570)    0.826 -0.532 (0.0119)    1.979 -1.330 (0.0374)
             cn270   71    0.771 (0.0116)    0.741 -0.045 (0.0064)    0.839 -0.113 (0.0086)
            Oclear   72    0.471 (0.0817)    0.645  0.261 (0.0023)    0.079  0.653 (0.0106)
         Oclear-lp   73    0.373 (0.0786)    0.534  0.242 (0.0075)    0.010  0.605 (0.0042)
             [OII]   74    0.464 (0.0906)    0.650  0.278 (0.0080)    0.047  0.696 (0.0064)
            [OIII]   75    0.522 (0.0890)    0.715  0.289 (0.0020)    0.089  0.722 (0.0149)
 2MASS          J    76    0.233 (0.0702)    0.369  0.204 (0.0130)   -0.073  0.510 (0.0033)
 2MASS          H    77    0.172 (0.0628)    0.289  0.175 (0.0153)   -0.091  0.438 (0.0069)
 2MASS          Ks   78    0.146 (0.0508)    0.240  0.141 (0.0127)   -0.066  0.353 (0.0061)
 SWASP               79    0.501 (0.0868)    0.688  0.281 (0.0015)    0.079  0.702 (0.0137)
 MOST                80    0.491 (0.0860)    0.675  0.277 (0.0014)    0.074  0.694 (0.0129)
 GAIA (2006)    G    81    0.478 (0.0847)    0.660  0.272 (0.0017)    0.070  0.680 (0.0120)
 GAIA (2010)    G    82    0.459 (0.0836)    0.636  0.267 (0.0026)    0.059  0.667 (0.0106)
 GAIA (2010)    BP   83    0.508 (0.0866)    0.695  0.281 (0.0016)    0.086  0.702 (0.0141)
 GAIA (2010)    RP   84    0.330 (0.0754)    0.482  0.228 (0.0095)   -0.012  0.570 (0.0016)
 GAIA (2010)  G_RV   85    0.256 (0.0831)    0.417  0.242 (0.0149)   -0.107  0.604 (0.0033)
 Milone        230   86    0.980 (0.0656)    0.831 -0.224 (0.0056)    1.315 -0.559 (0.0163)
               250   87    0.870 (0.0336)    0.791 -0.119 (0.0058)    1.048 -0.297 (0.0115)
               270   88    0.766 (0.0107)    0.738 -0.042 (0.0065)    0.830 -0.105 (0.0085)
               290   89    0.674 (0.0098)    0.684  0.014 (0.0069)    0.653  0.035 (0.0063)
               310   90    0.591 (0.0209)    0.625  0.052 (0.0076)    0.512  0.130 (0.0051)
               330   91    0.520 (0.0284)    0.570  0.076 (0.0083)    0.406  0.189 (0.0047)
 CaII triplet  858   92    0.247 (0.0831)    0.408  0.240 (0.0155)   -0.113  0.601 (0.0039)
 WIRE  Johnson V+R   93    0.429 (0.0818)    0.601  0.258 (0.0045)    0.043  0.644 (0.0080)
               LUT   94    0.664 (0.0191)    0.698  0.052 (0.0048)    0.586  0.130 (0.0023)
              TESS   95    0.349 (0.0775)    0.506  0.236 (0.0087)   -0.005  0.590 (0.0027)


          Teff = 8500 K,  log g = 3.0,  [M/H] = -5.0

 bolometric           0    0.601 (0.0301)    0.658  0.086 (0.0058)    0.472  0.215 (0.0019)
 Stromgren      u     1    0.473 (0.0352)    0.539  0.099 (0.0082)    0.325  0.247 (0.0035)
                v     2    0.604 (0.0946)    0.815  0.315 (0.0060)    0.131  0.788 (0.0210)
                b     3    0.566 (0.0910)    0.766  0.300 (0.0034)    0.116  0.750 (0.0177)
                y     4    0.488 (0.0852)    0.671  0.274 (0.0016)    0.077  0.685 (0.0117)
 Johnson        U     5    0.520 (0.0748)    0.677  0.236 (0.0035)    0.166  0.590 (0.0082)
                B     6    0.582 (0.0930)    0.787  0.308 (0.0044)    0.120  0.769 (0.0190)
                V     7    0.490 (0.0853)    0.673  0.274 (0.0015)    0.078  0.686 (0.0119)
                R     8    0.388 (0.0749)    0.544  0.234 (0.0056)    0.038  0.584 (0.0057)
                I     9    0.294 (0.0711)    0.437  0.215 (0.0088)   -0.029  0.538 (0.0017)
                J    10    0.235 (0.0655)    0.365  0.194 (0.0099)   -0.057  0.486 (0.0009)
                K    11    0.144 (0.0451)    0.230  0.129 (0.0096)   -0.049  0.322 (0.0035)
                L    12    0.097 (0.0299)    0.152  0.084 (0.0074)   -0.029  0.209 (0.0035)
                M    13    0.071 (0.0221)    0.111  0.060 (0.0062)   -0.019  0.150 (0.0034)
                N    14    0.039 (0.0131)    0.061  0.034 (0.0045)   -0.012  0.084 (0.0029)
 Cousins        Rc   15    0.409 (0.0772)    0.570  0.242 (0.0049)    0.045  0.605 (0.0068)
                Ic   16    0.316 (0.0657)    0.449  0.200 (0.0077)    0.016  0.500 (0.0021)
 Bessell        UX   17    0.519 (0.0696)    0.665  0.219 (0.0039)    0.191  0.547 (0.0069)
 Bessell        BX   18    0.581 (0.0929)    0.786  0.307 (0.0043)    0.120  0.768 (0.0189)
 Bessell        B    19    0.582 (0.0930)    0.788  0.308 (0.0044)    0.121  0.770 (0.0190)
 Bessell        V    20    0.489 (0.0852)    0.672  0.274 (0.0015)    0.078  0.685 (0.0118)
 Bessell        R    21    0.408 (0.0771)    0.569  0.242 (0.0049)    0.045  0.605 (0.0067)
 Bessell        I    22    0.307 (0.0674)    0.443  0.204 (0.0082)    0.000  0.511 (0.0018)
 Tycho         TyB   23    0.588 (0.0937)    0.795  0.310 (0.0046)    0.123  0.775 (0.0193)
               TyV   24    0.504 (0.0869)    0.691  0.281 (0.0010)    0.083  0.702 (0.0129)
 Hipparchos    HIP   25    0.534 (0.0887)    0.727  0.290 (0.0017)    0.099  0.724 (0.0153)
 KEPLER              26    0.465 (0.0825)    0.641  0.264 (0.0022)    0.068  0.660 (0.0107)
 COROT SIS           27    0.473 (0.0833)    0.651  0.268 (0.0017)    0.071  0.669 (0.0113)
 COROT EXO           28    0.468 (0.0829)    0.645  0.266 (0.0019)    0.069  0.664 (0.0110)
 Geneva         U    29    0.482 (0.0384)    0.555  0.109 (0.0082)    0.318  0.273 (0.0030)
                B    30    0.589 (0.0939)    0.796  0.311 (0.0046)    0.123  0.777 (0.0194)
                B1   31    0.593 (0.0948)    0.802  0.313 (0.0046)    0.123  0.783 (0.0193)
                B2   32    0.580 (0.0925)    0.784  0.306 (0.0043)    0.121  0.765 (0.0189)
                V    33    0.490 (0.0853)    0.673  0.274 (0.0015)    0.078  0.686 (0.0119)
                V1   34    0.496 (0.0859)    0.681  0.277 (0.0012)    0.080  0.693 (0.0123)
                G    35    0.458 (0.0824)    0.633  0.262 (0.0030)    0.065  0.656 (0.0097)
 Vilnius        U    36    0.487 (0.0340)    0.551  0.095 (0.0080)    0.345  0.238 (0.0035)
                P    37    0.504 (0.0854)    0.683  0.268 (0.0045)    0.102  0.671 (0.0090)
                X    38    0.602 (0.0948)    0.812  0.315 (0.0055)    0.130  0.788 (0.0204)
                Y    39    0.566 (0.0912)    0.767  0.301 (0.0034)    0.115  0.752 (0.0177)
                Z    40    0.517 (0.0876)    0.706  0.284 (0.0008)    0.091  0.710 (0.0138)
                V    41    0.490 (0.0854)    0.673  0.275 (0.0015)    0.078  0.688 (0.0119)
                S    42    0.380 (0.0761)    0.538  0.237 (0.0061)    0.026  0.591 (0.0053)
 Milone         iz   43    0.276 (0.0732)    0.423  0.221 (0.0092)   -0.055  0.551 (0.0015)
                iJ   44    0.228 (0.0641)    0.354  0.190 (0.0101)   -0.057  0.474 (0.0012)
                iH   45    0.165 (0.0571)    0.274  0.163 (0.0120)   -0.080  0.408 (0.0043)
                iK   46    0.140 (0.0439)    0.224  0.125 (0.0094)   -0.048  0.313 (0.0035)
 YMS94         iz    47    0.276 (0.0732)    0.423  0.221 (0.0092)   -0.055  0.552 (0.0015)
               iJ    48    0.228 (0.0641)    0.354  0.190 (0.0101)   -0.057  0.474 (0.0012)
               iH    49    0.165 (0.0571)    0.274  0.163 (0.0120)   -0.079  0.407 (0.0043)
               iK    50    0.140 (0.0439)    0.224  0.125 (0.0094)   -0.048  0.313 (0.0035)
               iL    51    0.089 (0.0276)    0.141  0.077 (0.0069)   -0.026  0.193 (0.0034)
               iLp   52    0.082 (0.0259)    0.130  0.071 (0.0070)   -0.024  0.177 (0.0037)
               iM    53    0.065 (0.0218)    0.104  0.059 (0.0064)   -0.023  0.147 (0.0036)
               in    54    0.039 (0.0134)    0.063  0.035 (0.0044)   -0.014  0.088 (0.0027)
               iN    55    0.036 (0.0121)    0.056  0.030 (0.0045)   -0.009  0.076 (0.0031)
 Sloan DSS      u    56    0.500 (0.0568)    0.615  0.173 (0.0063)    0.241  0.432 (0.0021)
                g    57    0.555 (0.0908)    0.753  0.298 (0.0027)    0.107  0.745 (0.0169)
                r    58    0.425 (0.0790)    0.591  0.249 (0.0044)    0.051  0.623 (0.0076)
                i    59    0.332 (0.0676)    0.470  0.207 (0.0072)    0.021  0.517 (0.0028)
                z    60    0.277 (0.0756)    0.428  0.227 (0.0098)   -0.064  0.568 (0.0013)
 HST STIS Ly_alpha   61    1.478 (0.3144)    0.718 -1.140 (0.0605)    3.188 -2.850 (0.1141)
            Fclear   62    1.483 (0.3139)    0.737 -1.118 (0.0523)    3.161 -2.796 (0.1054)
             Fsrf2   63    1.467 (0.3041)    0.749 -1.077 (0.0479)    3.083 -2.694 (0.0992)
              Fqtz   64    1.370 (0.2470)    0.806 -0.846 (0.0254)    2.640 -2.116 (0.0661)
              CIII   65    1.150 (0.1263)    0.871 -0.420 (0.0052)    1.780 -1.049 (0.0253)
              MgII   66    0.725 (0.0061)    0.725  0.000 (0.0063)    0.725  0.000 (0.0063)
            Nclear   67    1.046 (0.1045)    0.805 -0.361 (0.0121)    1.588 -0.903 (0.0294)
             Nsrf2   68    1.030 (0.0963)    0.809 -0.330 (0.0100)    1.525 -0.826 (0.0259)
              Nqtz   69    1.017 (0.0896)    0.813 -0.306 (0.0084)    1.475 -0.764 (0.0231)
             cn182   70    1.181 (0.1505)    0.843 -0.508 (0.0107)    1.943 -1.270 (0.0351)
             cn270   71    0.779 (0.0089)    0.756 -0.035 (0.0061)    0.831 -0.087 (0.0078)
            Oclear   72    0.474 (0.0807)    0.646  0.258 (0.0021)    0.086  0.646 (0.0105)
         Oclear-lp   73    0.374 (0.0751)    0.530  0.233 (0.0061)    0.024  0.583 (0.0052)
             [OII]   74    0.408 (0.0981)    0.604  0.295 (0.0119)   -0.035  0.738 (0.0031)
